elapsed,g_forward_cmd,g_turn_cmd,g_shortest_bearing,g_shortest
0.100000,0.130000,0.000000,39.000000,0.347135 
0.099000,0.130000,0.000000,39.000000,0.347135 
0.100000,0.130000,0.000000,38.000000,0.326703 
0.100000,0.130000,0.000000,38.000000,0.326703 
0.100000,0.130000,0.000000,45.000000,0.304225 
0.100000,0.130000,0.000000,45.000000,0.304225 
0.100000,0.130000,0.000000,45.000000,0.284876 
0.100000,0.130000,0.000000,45.000000,0.284876 
0.101000,0.130000,0.000000,53.000000,0.274088 
0.100000,0.130000,0.000000,53.000000,0.274088 
0.099000,0.130000,0.000000,52.000000,0.252461 
0.099000,0.130000,0.000000,52.000000,0.252461 
0.101000,0.130000,0.000000,49.000000,0.241515 
0.100000,0.130000,0.000000,49.000000,0.241515 
0.100000,0.130000,0.000000,59.000000,0.227662 
0.101000,0.130000,0.000000,59.000000,0.227662 
0.098000,0.130000,0.000000,69.000000,0.214164 
0.099000,0.130000,0.000000,69.000000,0.214164 
0.100000,0.130000,0.000000,69.000000,0.199858 
0.100000,0.130000,0.000000,69.000000,0.199858 
0.100000,0.130000,0.000000,69.000000,0.179439 
0.100000,0.130000,0.000000,69.000000,0.179439 
0.101000,0.130000,0.000000,74.000000,0.179082 
0.099000,0.130000,0.000000,74.000000,0.179082 
0.100000,0.130000,0.000000,76.000000,0.170530 
0.099000,0.130000,0.000000,76.000000,0.170530 
0.100000,0.130000,0.000000,74.000000,0.166459 
0.100000,0.130000,0.000000,74.000000,0.166459 
0.099000,0.130000,0.000000,85.000000,0.156850 
0.099000,0.130000,0.000000,85.000000,0.156850 
0.100000,0.130000,0.000000,90.000000,0.157637 
0.099000,0.130000,0.000000,90.000000,0.157637 
0.100000,0.130000,0.000000,92.000000,0.165178 
0.101000,0.130000,0.000000,92.000000,0.165178 
0.099000,0.130000,0.000000,106.000000,0.160219 
0.099000,0.130000,0.000000,106.000000,0.160219 
0.100000,0.130000,0.000000,105.000000,0.160874 
0.102000,0.130000,0.000000,105.000000,0.160874 
0.097000,0.130000,0.000000,116.000000,0.181015 
0.100000,0.130000,0.000000,116.000000,0.181015 
0.103000,0.130000,0.000000,106.000000,0.191542 
0.096000,0.130000,0.000000,106.000000,0.191542 
0.100000,0.130000,0.000000,119.000000,0.191306 
0.099000,0.130000,0.000000,119.000000,0.191306 
0.100000,0.130000,0.000000,112.000000,0.209203 
0.100000,0.130000,0.000000,112.000000,0.209203 
0.099000,0.130000,0.000000,124.000000,0.219591 
0.100000,0.130000,0.000000,124.000000,0.219591 
0.099000,0.130000,0.000000,128.000000,0.239216 
0.099000,0.130000,0.000000,128.000000,0.239216 
0.100000,0.130000,0.000000,130.000000,0.255801 
0.101000,0.130000,0.000000,130.000000,0.255801 
0.099000,0.130000,0.000000,127.000000,0.265522 
0.099000,0.130000,0.000000,127.000000,0.265522 
0.100000,0.130000,0.000000,132.000000,0.288203 
0.100000,0.130000,0.000000,132.000000,0.288203 
0.100000,0.130000,0.000000,140.000000,0.305977 
0.099000,0.130000,0.000000,140.000000,0.305977 
0.102000,0.130000,0.000000,143.000000,0.328373 
0.097000,0.130000,0.000000,143.000000,0.328373 
0.104000,0.130000,0.000000,140.000000,0.344082 
0.101000,0.130000,0.000000,140.000000,0.344082 
0.098000,0.130000,0.000000,139.000000,0.368975 
0.098000,0.130000,0.000000,139.000000,0.368975 
0.100000,0.130000,0.000000,144.000000,0.388801 
0.101000,0.130000,0.000000,144.000000,0.388801 
0.098000,0.130000,0.000000,147.000000,0.403218 
0.101000,0.130000,0.000000,147.000000,0.403218 
0.099000,0.130000,0.000000,144.000000,0.430227 
0.100000,0.130000,0.000000,144.000000,0.430227 
0.099000,0.130000,0.000000,151.000000,0.455822 
0.098000,0.130000,0.000000,151.000000,0.455822 
0.101000,0.130000,0.000000,151.000000,0.476008 
0.103000,0.130000,0.000000,151.000000,0.476008 
0.096000,0.130000,0.000000,152.000000,0.502033 
0.101000,0.130000,0.000000,152.000000,0.502033 
0.098000,0.130000,0.000000,155.000000,0.528274 
0.101000,0.130000,0.000000,155.000000,0.528274 
0.100000,0.130000,0.000000,148.000000,0.546707 
0.099000,0.130000,0.000000,148.000000,0.546707 
0.101000,0.130000,0.000000,157.000000,0.562633 
0.099000,0.130000,0.000000,157.000000,0.562633 
0.100000,0.130000,0.000000,305.000000,0.556674 
0.100000,0.130000,0.000000,305.000000,0.556674 
0.100000,0.130000,0.000000,312.000000,0.538083 
0.100000,0.130000,0.000000,312.000000,0.538083 
0.100000,0.130000,0.000000,314.000000,0.520628 
0.100000,0.130000,0.000000,314.000000,0.520628 
0.101000,0.130000,0.000000,306.000000,0.509071 
0.104000,0.130000,0.000000,306.000000,0.509071 
0.094000,0.130000,0.000000,321.000000,0.485980 
0.100000,0.130000,0.000000,321.000000,0.485980 
0.099000,0.130000,0.000000,311.000000,0.471836 
0.101000,0.130000,0.000000,311.000000,0.471836 
0.098000,0.130000,0.000000,316.000000,0.445860 
0.100000,0.130000,0.000000,316.000000,0.445860 
0.100000,0.130000,0.000000,307.000000,0.435406 
0.106000,0.130000,0.000000,307.000000,0.435406 
0.097000,0.130000,0.000000,307.000000,0.408490 
0.097000,0.130000,0.000000,307.000000,0.408490 
0.099000,0.130000,0.000000,316.000000,0.399152 
0.100000,0.130000,0.000000,316.000000,0.399152 
0.098000,0.130000,0.000000,308.000000,0.389949 
0.099000,0.130000,0.000000,308.000000,0.389949 
0.101000,0.130000,0.000000,306.000000,0.360252 
0.098000,0.130000,0.000000,306.000000,0.360252 
0.101000,0.130000,0.000000,315.000000,0.345289 
0.102000,0.130000,0.000000,315.000000,0.345289 
0.097000,0.130000,0.000000,308.000000,0.328840 
0.100000,0.130000,0.000000,308.000000,0.328840 
0.100000,0.130000,0.000000,313.000000,0.314749 
0.100000,0.130000,0.000000,313.000000,0.314749 
0.100000,0.130000,0.000000,318.000000,0.301706 
0.101000,0.130000,0.000000,318.000000,0.301706 
0.099000,0.130000,0.000000,319.000000,0.279076 
0.100000,0.130000,0.000000,319.000000,0.279076 
0.100000,0.130000,0.000000,307.000000,0.263906 
0.101000,0.130000,0.000000,307.000000,0.263906 
0.100000,0.130000,0.000000,302.000000,0.240362 
0.099000,0.130000,0.000000,302.000000,0.240362 
0.100000,0.130000,0.000000,314.000000,0.221172 
0.100000,0.130000,0.000000,314.000000,0.221172 
0.099000,0.130000,0.000000,301.000000,0.207497 
0.100000,0.000000,0.000000,301.000000,0.207497 
0.100000,0.000000,0.000000,296.000000,0.190851 
0.099000,0.000000,0.000000,296.000000,0.190851 
0.100000,0.000000,0.000000,304.000000,0.177091 
0.101000,0.000000,0.000000,304.000000,0.177091 
0.099000,0.000000,0.000000,306.000000,0.162157 
0.101000,0.000000,0.000000,306.000000,0.162157 
0.099000,0.000000,0.000000,321.000000,0.161318 
0.102000,0.000000,0.000000,321.000000,0.161318 
0.097000,0.000000,0.000000,295.000000,0.157251 
0.100000,0.000000,0.000000,295.000000,0.157251 
0.099000,0.000000,0.000000,303.000000,0.157109 
0.100000,0.000000,0.000000,303.000000,0.157109 
0.100000,0.000000,0.000000,303.000000,0.153291 
0.100000,0.000000,0.000000,303.000000,0.153291 
0.099000,0.000000,0.000000,290.000000,0.155074 
0.100000,0.000000,0.000000,290.000000,0.155074 
0.101000,0.000000,0.000000,308.000000,0.155655 
0.098000,0.000000,0.000000,308.000000,0.155655 
0.100000,0.000000,0.000000,301.000000,0.147634 
0.100000,0.000000,0.000000,301.000000,0.147634 
0.100000,0.000000,0.000000,283.000000,0.161497 
0.099000,0.000000,0.000000,283.000000,0.161497 
0.100000,0.000000,0.000000,278.000000,0.162589 
0.100000,0.000000,0.000000,278.000000,0.162589 
0.103000,0.000000,0.000000,297.000000,0.159289 
0.098000,0.000000,0.000000,297.000000,0.159289 
0.099000,0.000000,0.000000,307.000000,0.156191 
0.100000,0.000000,0.000000,307.000000,0.156191 
0.104000,0.000000,0.000000,304.000000,0.147077 
0.096000,0.000000,0.000000,304.000000,0.147077 
0.101000,0.000000,0.000000,302.000000,0.158168 
0.099000,0.000000,0.000000,302.000000,0.158168 
